,Done,Structure,Map type,Template,Mask,Mask is tight,Tight mask,Compare,Target map,Symmetry,Apply wedge,Angles,Degrees,Apply angular offset,Phi,Theta,Psi,Binning,Pixelsize,Boxsize,Motl,Target created,Tomogram,Output folder,Voxels,Voxels TM,Dim x,Dim y,Dim z,Solidity,Peak value,Peak x,Peak y,Peak z,VC dist_all,VC dist_normals,VC dist_inplane,Solidity dist_all,Solidity dist_normals,Solidity dist_inplane,VCO dist_all,VCO dist_normals,VCO dist_inplane,O dist_all x,O dist_all y,O dist_all z,O dist_normals x,O dist_normals y,O dist_normals z,O dist_inplane x,O dist_inplane y,O dist_inplane z,Drop x,Drop y,Drop z,Mean 1,Mean 2,Mean 3,Mean 4,Mean 5,Median 1,Median 2,Median 3,Median 4,Median 5,Var 1,Var 2,Var 3,Var 4,Var 5
0,FALSE,ribosome,sta,bin4_voxel2.176_ribosome.em,mask48_r22.em,FALSE,tm_bin4_voxel2.176_ribosome.em,tmpl,,1,FALSE,AGL_anglist_20_deg_c1.csv,20,FALSE,0,0,0,4,8.704,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,FALSE,ribosome,sta,bin4_voxel2.176_ribosome.em,mask48_r22.em,FALSE,tm_bin4_voxel2.176_ribosome.em,tmpl,,1,FALSE,AGL_anglist_30_deg_c1.csv,30,FALSE,0,0,0,4,8.704,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,FALSE,ribosome,sta,bin4_voxel2.176_ribosome.em,mask48_r22.em,FALSE,tm_bin4_voxel2.176_ribosome.em,subtomo,subtomo_ribosome_m_motl_ribosome_b4_trim_shift_t126_t_126_b4_s48.em,1,TRUE,AGL_anglist_20_deg_c1.csv,20,FALSE,0,0,0,4,8.704,48,motl_ribosome_b4_trim_shift_t126.em,FALSE,126_b4.mrc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,FALSE,ribosome,sta,bin4_voxel2.176_ribosome.em,mask48_r22.em,FALSE,tm_bin4_voxel2.176_ribosome.em,subtomo,subtomo_ribosome_m_motl_ribosome_b4_trim_shift_t126_t_126_b4_s48.em,1,TRUE,AGL_anglist_30_deg_c1.csv,30,FALSE,0,0,0,4,8.704,48,motl_ribosome_b4_trim_shift_t126.em,FALSE,126_b4.mrc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
