,x,y,z
0,0.0,0.07070513,0.071319126
1,0.0,0.1010043,0.10192858
2,0.029055946,0.13072172,0.13467745
3,0.06593833,0.17001499,0.16683172
4,0.10071495,0.20917113,0.1935055
5,0.1295938,0.24286191,0.22449358
6,0.15358914,0.27294186,0.26073167
7,0.18593195,0.30065554,0.2934402
8,0.21694078,0.32924467,0.318847
9,0.24268618,0.35166803,0.34659365
10,0.2723771,0.37252522,0.37623647
11,0.30396938,0.39492974,0.40127647
12,0.3371813,0.42234862,0.42176068
13,0.3750481,0.44809005,0.4434165
14,0.40916818,0.46753848,0.46503556
15,0.44495535,0.48258403,0.48853835
16,0.4761472,0.49953693,0.51178515
17,0.5074558,0.51094717,0.5299026
18,0.53661275,0.52267885,0.54127693
19,0.5504087,0.5394607,0.5437162
20,0.5620454,0.5650947,0.5637308
21,0.5870654,0.59179467,0.58850867
22,0.60603106,0.6111694,0.6084757
23,0.62374157,0.6202044,0.6239696
24,0.99999994,0.99999994,0.99999994
25,0.6167167,0.6218563,0.62316257
26,0.5859654,0.6039153,0.6158634
27,0.5538748,0.5766495,0.60018444
28,0.5149543,0.54393923,0.57061166
29,0.48225534,0.5145486,0.5364957
30,0.4473068,0.47866955,0.5026441
31,0.42667165,0.4481188,0.46579257
32,0.40219834,0.41543877,0.4421673
33,0.37555137,0.3803961,0.41470808
34,0.35253325,0.34757173,0.3885614
35,0.32804313,0.31339067,0.35599175
36,0.30429485,0.2803594,0.32993487
37,0.28418785,0.24540624,0.30173755
38,0.26377425,0.20680673,0.26980865
39,0.23874272,0.16408283,0.23691155
40,0.21510014,0.12978703,0.20568314
41,0.1879619,0.09428018,0.17621325
42,0.15841204,0.060932644,0.1519762
43,0.12118275,0.0291601,0.12414627
44,0.0870436,0.0,0.09339731
45,0.056725327,0.0048017516,0.06510004
46,0.023152746,0.024104334,0.040168498
47,0.0,0.04552567,0.042812955
