,ang_dist,cone_dist,inplane_dist,common_voxels,ccc,ccc_masked,cone_ang_dist,cone_cone_dist,cone_inplane_dist,cone_common_voxels,cone_ccc,cone_ccc_masked,inplane_ang_dist,inplane_cone_dist,inplane_inplane_dist,inplane_common_voxels,inplane_ccc,inplane_ccc_masked
181,179.00015230870906,179.0000000000001,1.0,42545.0,0.4811274776234928,0.4811274776234928,179.9912735752534,179.0000000000001,0.0,41885.0,0.49015714223971607,0.49015714223971607,179.0,0.0,0.0,42545.0,0.45358970305692753,0.45358970305692753
182,178.00121846957364,178.00000000000026,2.0,42145.0,0.5053834645042498,0.5053834645042498,179.96509695866112,178.00000000000026,0.0,41485.0,0.5128016962676315,0.5128016962676315,178.00000000000003,0.0,0.0,42177.0,0.46888861585461905,0.46888861585461905
183,177.00411233336462,177.00000000000009,2.9999999999999716,42245.0,0.5135530259006991,0.5135530259006991,179.92147811932284,177.00000000000009,0.0,41551.0,0.5201651432373781,0.5201651432373781,177.00000000000003,0.0,0.0,42273.0,0.4743579990955902,0.4743579990955902
184,176.0097477439321,176.00000000000006,4.0,42283.0,0.516967917916801,0.516967917916801,179.8604303262742,175.99999999999997,0.0,41557.0,0.5230892627890948,0.5230892627890948,176.00000000000003,0.0,0.0,42365.0,0.47500705562922885,0.47500705562922885
185,175.01903852437553,175.00000000000009,5.0,42129.0,0.5198259122349768,0.5198259122349768,179.78197212933742,175.0,0.0,41485.0,0.5254602093873231,0.5254602093873231,175.00000000000003,0.0,0.0,42269.0,0.4744857634591447,0.4744857634591447
186,174.03289845079436,174.00000000000003,6.0,42031.0,0.5208212830362549,0.5208212830362549,179.68612733240337,174.00000000000003,0.0,41559.0,0.526352140672566,0.526352140672566,174.00000000000003,0.0,0.0,42369.0,0.473044588570366,0.473044588570366
187,173.0522412095241,172.99999999999997,7.0,41849.0,0.5229383131596395,0.5229383131596395,179.5729249592372,173.00000000000003,0.0,41539.0,0.5278869815635833,0.5278869815635833,173.00000000000003,0.0,0.0,42297.0,0.4724589180372027,0.4724589180372027
188,172.07798033379837,172.0,8.0,41709.0,0.5260272065140931,0.5260272065140931,179.44239921192238,172.0,0.0,41499.0,0.5292760780511939,0.5292760780511939,172.0,0.0,0.0,42305.0,0.4724152276260972,0.4724152276260972
189,171.11102911583137,171.00000000000003,9.0,41621.0,0.5284688925355813,0.5284688925355813,179.2945894220848,171.00000000000003,0.0,41477.0,0.5314408591684214,0.5314408591684214,171.00000000000003,0.0,0.0,42301.0,0.4716958007840318,0.4716958007840318
190,170.15230049037842,170.00000000000003,10.0,41541.0,0.5294457744498887,0.5294457744498887,179.12953999506018,170.00000000000003,0.0,41493.0,0.5334350188457451,0.5334350188457451,170.0,0.0,0.0,42297.0,0.4709373630769295,0.4709373630769295
191,169.20270688591452,169.00000000000006,11.0,41515.0,0.5301312539863605,0.5301312539863605,178.94730034719137,169.00000000000003,0.0,41519.0,0.5349348187912973,0.5349348187912973,169.00000000000003,0.0,0.0,42297.0,0.4712439407197132,0.4712439407197132
192,168.26316003966946,167.99999999999997,12.0,41527.0,0.5306799355205266,0.5306799355205266,178.74792483646377,167.99999999999997,0.0,41497.0,0.5361871154917878,0.5361871154917878,168.0,0.0,0.0,42269.0,0.4704581219899307,0.4704581219899307
193,167.33457077287812,167.00000000000003,13.0,41529.0,0.5310934583129696,0.5310934583129696,178.5314726867064,167.00000000000003,0.0,41517.0,0.5379436117300876,0.5379436117300876,167.00000000000003,0.0,0.0,42337.0,0.4688897798420568,0.4688897798420568
194,166.4178487227483,166.00000000000003,14.0,41571.0,0.5308253351528639,0.5308253351528639,178.29800790560606,166.00000000000003,0.0,41577.0,0.539796895104845,0.539796895104845,166.00000000000003,0.0,0.0,42289.0,0.46683116588037465,0.46683116588037465
195,165.51390202781636,165.00000000000003,15.0,41585.0,0.5310005956747181,0.5310005956747181,178.0475991967985,165.00000000000003,0.0,41559.0,0.541647077517908,0.541647077517908,165.00000000000003,0.0,0.0,42337.0,0.46634864123879405,0.46634864123879405
196,164.62363696356076,164.00000000000003,16.0,41557.0,0.5317269517962453,0.5317269517962453,177.78031986631711,164.0,0.0,41569.0,0.5426331401839176,0.5426331401839176,164.00000000000003,0.0,0.0,42353.0,0.467512691677169,0.467512691677169
197,163.74795752537128,163.0,17.0,41545.0,0.5325826361793267,0.5325826361793267,177.4962477236937,163.0,0.0,41569.0,0.5436016595484514,0.5436016595484514,163.0,0.0,0.0,42317.0,0.4675692897917101,0.4675692897917101
198,162.88776495623767,162.00000000000003,18.0,41581.0,0.5331670548555114,0.5331670548555114,177.19546497801844,162.00000000000003,0.0,41487.0,0.5450630913935877,0.5450630913935877,162.0,0.0,0.0,42269.0,0.46769733370181693,0.46769733370181693
199,162.04395721682113,161.0,19.0,41577.0,0.5333200291589212,0.5333200291589212,176.878058129278,160.99999999999997,0.0,41531.0,0.5452104298329765,0.5452104298329765,161.0,0.0,0.0,42273.0,0.4665858451715684,0.4665858451715684
200,161.217428395913,160.00000000000003,20.0,41547.0,0.5333134863572403,0.5333134863572403,176.544117855299,160.00000000000003,0.0,41573.0,0.5447047250081538,0.5447047250081538,160.00000000000003,0.0,0.0,42305.0,0.46578744580105275,0.46578744580105275
201,160.4090680596664,159.0,21.0,41541.0,0.5337450127772353,0.5337450127772353,176.19373889463236,158.99999999999997,0.0,41545.0,0.5425870951645962,0.5425870951645962,159.0,0.0,0.0,42225.0,0.46604194749004196,0.46604194749004196
202,159.61976053841067,158.00000000000003,22.0,41529.0,0.5335087196894482,0.5335087196894482,175.82701992572078,158.00000000000003,0.0,41619.0,0.5427390274424988,0.5427390274424988,158.0,0.0,0.0,42305.0,0.46622551501230636,0.46622551501230636
203,158.8503841503264,157.00000000000003,23.0,41571.0,0.5329751189969673,0.5329751189969673,175.44406344269382,157.00000000000003,0.0,41577.0,0.5425931622663689,0.5425931622663689,157.00000000000003,0.0,0.0,42261.0,0.46500295005766973,0.46500295005766973
204,158.10181036176957,156.00000000000003,24.0,41547.0,0.5335882961815877,0.5335882961815877,175.04497562814018,156.00000000000003,0.0,41551.0,0.54379909298906,0.54379909298906,156.00000000000003,0.0,0.0,42305.0,0.46610295933276835,0.46610295933276835
