,x,y,z
0,0.04079745,0.04712281,0.03971093
1,0.048773225,0.039731383,0.038753152
2,0.04471529,0.04698117,0.041447055
3,0.04332618,0.035580195,0.038901255
4,0.045067992,0.04279328,0.039780155
5,0.040894788,0.03911546,0.042039778
6,0.045166705,0.036782045,0.039785467
7,0.047831327,0.03438802,0.04523587
8,0.055882342,0.035665452,0.046596583
9,0.050249398,0.037090693,0.045547094
10,0.03776575,0.043136213,0.041750353
11,0.040775515,0.04370273,0.045146164
12,0.03657222,0.04065167,0.04764942
13,0.043591224,0.041111678,0.04318283
14,0.042305972,0.0436778,0.042879157
15,0.037788764,0.04803509,0.047418866
16,0.04342757,0.04670968,0.056082167
17,0.04205747,0.042139884,0.08857117
18,0.050447468,0.04265752,0.1229433
19,0.04731845,0.044349477,0.14604174
20,0.04470362,0.044331573,0.147959
21,0.050416138,0.047858227,0.1363987
22,0.046766497,0.050019335,0.12432426
23,0.05626589,0.06175251,0.11535919
24,0.12608469,0.1297073,0.10645244
25,0.147959,0.147959,0.09487551
26,0.068028405,0.09470383,0.079307124
27,0.045549985,0.053134482,0.060912244
28,0.038842767,0.04846898,0.04576101
29,0.037357744,0.04493627,0.038935974
30,0.046805233,0.04635812,0.037247
31,0.045027062,0.052889455,0.036888145
32,0.048222642,0.0502515,0.040346388
33,0.044187114,0.047398306,0.040347792
34,0.04860894,0.047924954,0.039331574
35,0.04421702,0.039090108,0.041034557
36,0.04725656,0.0382357,0.04127043
37,0.042984877,0.038347982,0.03849288
38,0.040143322,0.04214271,0.042165037
39,0.04038222,0.0404717,0.04692854
40,0.04454762,0.040723264,0.04641133
41,0.046203077,0.04479137,0.04438207
42,0.043522645,0.046208397,0.04281646
43,0.042452693,0.04319264,0.048563153
44,0.05111444,0.044457648,0.045101523
45,0.04494003,0.04671272,0.039195172
46,0.04741509,0.04333664,0.038771756
47,0.035511218,0.047988474,0.037145164
