,x,y,z
0,0.0344592,0.035560634,0.034085922
1,0.037033964,0.040270567,0.03705125
2,0.03766113,0.037422903,0.039493643
3,0.040440056,0.042488698,0.041141633
4,0.04181316,0.039068617,0.036814135
5,0.039154552,0.035902243,0.04416888
6,0.04065081,0.039401807,0.044413887
7,0.03879357,0.031928018,0.037774652
8,0.037962902,0.039308432,0.0388228
9,0.043988246,0.036573146,0.040431086
10,0.0406441,0.03675727,0.04057466
11,0.04288852,0.035275638,0.03975475
12,0.03638745,0.04306771,0.03938951
13,0.03687689,0.044727307,0.044809353
14,0.040073723,0.035190236,0.04369233
15,0.03800716,0.03807732,0.049133044
16,0.03544398,0.045364495,0.056082167
17,0.035177883,0.043704826,0.08857117
18,0.03489045,0.03955965,0.1229433
19,0.04618759,0.04164765,0.14604174
20,0.043713454,0.051869005,0.147959
21,0.045449838,0.050405208,0.1363987
22,0.05211916,0.04596551,0.12432426
23,0.05626589,0.06175251,0.11535919
24,0.12608469,0.1297073,0.10645244
25,0.147959,0.147959,0.09487551
26,0.068028405,0.09470383,0.079307124
27,0.058075085,0.049771555,0.060912244
28,0.045524288,0.03903707,0.04576101
29,0.033930544,0.037654158,0.038935974
30,0.037783597,0.047752626,0.037135504
31,0.044854164,0.04510233,0.04115757
32,0.042689845,0.03908847,0.04220088
33,0.036211345,0.047767404,0.043056402
34,0.03858887,0.045560196,0.04302259
35,0.036533587,0.035525646,0.035715837
36,0.043460563,0.041130107,0.039944198
37,0.030779935,0.041571993,0.0465764
38,0.03310843,0.033029675,0.043141946
39,0.0359901,0.033079803,0.041208304
40,0.035947107,0.032777626,0.039908715
41,0.039725315,0.03476922,0.038366657
42,0.046481762,0.036369346,0.042643238
43,0.043476377,0.033130534,0.038877934
44,0.044565085,0.036675528,0.034281477
45,0.04848333,0.0420166,0.037904833
46,0.03479569,0.03526046,0.042143602
47,0.039774414,0.033167038,0.037872422
