,Done,Structure,Map type,Template,Mask,Mask is tight,Tight mask,Compare,Target map,Symmetry,Apply wedge,Target wedge mask,Template wedge mask,Angles,Degrees,Apply angular offset,Phi,Theta,Psi,Binning,Pixelsize,Boxsize,Motl,Target created,Tomogram,Output folder,Voxels,Voxels TM,Dim x,Dim y,Dim z,Solidity,Peak value,Peak x,Peak y,Peak z,VC dist_all,VC dist_normals,VC dist_inplane,Solidity dist_all,Solidity dist_normals,Solidity dist_inplane,VCO dist_all,VCO dist_normals,VCO dist_inplane,O dist_all x,O dist_all y,O dist_all z,O dist_normals x,O dist_normals y,O dist_normals z,O dist_inplane x,O dist_inplane y,O dist_inplane z,Drop x,Drop y,Drop z,Mean 1,Mean 2,Mean 3,Mean 4,Mean 5,Median 1,Median 2,Median 3,Median 4,Median 5,Var 1,Var 2,Var 3,Var 4,Var 5
0,True,ribosome,sta,bin4_voxel2.176_ribosome.em,mask48_r22.em,False,tm_bin4_voxel2.176_ribosome.em,tmpl,,1,False,,,angles_20degrees_c1.csv,20,False,0.0,0.0,0.0,4,8.704,48,,,,id_0_results,44473.0,14184.0,32.0,37.0,36.0,0.7019349730291483,0.9999999403953552,24.0,24.0,24.0,1618.0,960.0,1.0,0.6767043078209954,0.6177606177606177,inf,1463.0,859.0,110592.0,12.0,21.0,15.0,11.0,19.0,13.0,48.0,48.0,48.0,0.33316540718078613,0.3337433934211731,0.3283998370170593,0.7156261205673218,0.6647897362709045,0.6310856342315674,0.607306718826294,0.5793701410293579,0.67264324426651,0.6536029577255249,0.6257463693618774,0.6032832264900208,0.5720372200012207,0.013553446158766747,0.0037885548081249,0.0016769906505942345,0.0014687960501760244,0.0016700406558811665
1,True,ribosome,sta,bin4_voxel2.176_ribosome.em,mask48_r22.em,False,tm_bin4_voxel2.176_ribosome.em,tmpl,,1,False,,,angles_30degrees_c1.csv,30,False,0.0,0.0,0.0,4,8.704,48,,,,id_1_results,44473.0,14184.0,32.0,37.0,36.0,0.7019349730291483,0.9999999403953552,24.0,24.0,24.0,19521.0,1702.0,35714.0,0.2597293737276973,0.5635761589403974,0.3719665882058866,17997.0,1491.0,77232.0,48.0,48.0,48.0,16.0,19.0,16.0,48.0,48.0,48.0,0.37977081537246704,0.37896960973739624,0.3764338493347168,0.675664484500885,0.6266036629676819,0.6029642224311829,0.5862337350845337,0.5643824934959412,0.623162567615509,0.6158633828163147,0.601908266544342,0.5842728018760681,0.5623767375946045,0.017537754029035568,0.004450966604053974,0.001570913358591497,0.0011532413773238659,0.00126491894479841
2,True,ribosome,sta,bin4_voxel2.176_ribosome.em,mask48_r22.em,False,tm_bin4_voxel2.176_ribosome.em,subtomo,subtomo_ribosome_m_motl_ribosome_b4_trim_shift_t126_t_126_b4_s48.em,1,True,target_wm_48_f24.em,template_wm_48_f24.em,angles_20degrees_c1.csv,20,False,-0.411447762773456,10.595623959307982,7.545420764969551,4,8.704,48,motl_ribosome_b4_trim_shift_t126.em,True,126_b4.mrc,id_2_results,44473.0,14184.0,32.0,37.0,36.0,0.7019349730291483,0.14795899391174316,25.0,25.0,20.0,137.0,138.0,184.0,0.6284403669724771,0.5476190476190477,0.37782340862423,102.0,110.0,100.0,4.0,4.0,12.0,4.0,4.0,14.0,4.0,4.0,12.0,0.05090244859457016,0.03575342893600464,0.006738781929016113,0.12127481400966644,0.09223822504281998,0.06840412318706512,0.06040552258491516,0.0548827163875103,0.12970730662345886,0.09285913407802582,0.05354836955666542,0.05079226195812225,0.04882064089179039,0.0007413738640025258,0.00118573650252074,0.0008577121188864112,0.0005981771391816437,0.00038201245479285717
3,True,ribosome,sta,bin4_voxel2.176_ribosome.em,mask48_r22.em,False,tm_bin4_voxel2.176_ribosome.em,subtomo,subtomo_ribosome_m_motl_ribosome_b4_trim_shift_t126_t_126_b4_s48.em,1,True,,,angles_30degrees_c1.csv,30,False,-0.411447762773456,10.595623959307982,7.545420764969551,4,8.704,48,motl_ribosome_b4_trim_shift_t126.em,True,126_b4.mrc,id_3_results,44473.0,14184.0,32.0,37.0,36.0,0.7019349730291483,0.14795899391174316,25.0,25.0,20.0,133.0,131.0,334.0,0.6363636363636364,0.6717948717948717,0.2549618320610687,112.0,108.0,118.0,4.0,4.0,12.0,4.0,4.0,12.0,4.0,4.0,13.0,0.05090244859457016,0.03575342893600464,0.006738781929016113,0.12127481400966644,0.092135488986969,0.06742163747549057,0.05858072638511658,0.05196886137127876,0.12970730662345886,0.09285913407802582,0.056325167417526245,0.04781138524413109,0.04516780748963356,0.0007413738640025258,0.001198749989271164,0.0009123872150667012,0.0006555461441166699,0.00043321578414179385
