,Done,Structure,Map type,Template,Mask,Mask is tight,Tight mask,Compare,Tomo map,Symmetry,Apply wedge,Angles,Degrees,Apply angular offset,Phi,Theta,Psi,Binning,Pixelsize,Boxsize,Motl,Tomo created,Tomogram,Output folder,Voxels,Voxels TM,Dim x,Dim y,Dim z,Solidity,Peak value,Peak x,Peak y,Peak z,VC dist_all,VC dist_normals,VC dist_inplane,Solidity dist_all,Solidity dist_normals,Solidity dist_inplane,VCO dist_all,VCO dist_normals,VCO dist_inplane,O dist_all x,O dist_all y,O dist_all z,O dist_normals x,O dist_normals y,O dist_normals z,O dist_inplane x,O dist_inplane y,O dist_inplane z,Drop x,Drop y,Drop z,Mean 1,Mean 2,Mean 3,Mean 4,Mean 5,Median 1,Median 2,Median 3,Median 4,Median 5,Var 1,Var 2,Var 3,Var 4,Var 5
0,True,ribosome,sta,bin4_voxel2.176_ribosome,mask48_r22,False,tm_bin4_voxel2.176_ribosome,tmpl,,1,False,AGL_anglist_20_deg_c1.csv,20,False,0.0,0.0,0.0,4,8.704,48,,,,id_0_results,44473.0,14184.0,32.0,37.0,36.0,0.7019349730291483,1.0,24.0,24.0,24.0,1342.0,1561.0,65057.0,0.6476833976833977,0.6668090559589919,0.5944264242313491,1232.0,1444.0,61353.0,13.0,20.0,15.0,16.0,20.0,15.0,48.0,48.0,48.0,0.36241716146469116,0.3736070990562439,0.36731666326522827,0.6847596764564514,0.6360777020454407,0.6120651364326477,0.5946494936943054,0.5720170736312866,0.6358529329299927,0.6244339942932129,0.6107492446899414,0.5920072793960571,0.5679634213447571,0.01659121736884117,0.004198024980723858,0.0014389404095709324,0.0010521119693294168,0.0011671343818306923
1,True,ribosome,sta,bin4_voxel2.176_ribosome,mask48_r22,False,tm_bin4_voxel2.176_ribosome,tmpl,,1,False,AGL_anglist_30_deg_c1.csv,30,False,0.0,0.0,0.0,4,8.704,48,,,,id_1_results,44473.0,14184.0,32.0,37.0,36.0,0.7019349730291483,1.0,24.0,24.0,24.0,5238.0,16618.0,68693.0,0.2404627461782123,0.2792190335372,0.627964164914526,3719.0,13124.0,65932.0,38.0,24.0,31.0,48.0,44.0,29.0,48.0,48.0,48.0,0.3887648582458496,0.3904682397842407,0.39320099353790283,0.6650188565254211,0.6045944690704346,0.5833842158317566,0.5707342624664307,0.553943932056427,0.6103517413139343,0.5917153358459473,0.5804462432861328,0.570725679397583,0.5544493198394775,0.018705401569604874,0.005006812512874603,0.0016230414621531963,0.001056972425431013,0.0010153608163818717
2,True,ribosome,sta,bin4_voxel2.176_ribosome,mask48_r22,False,tm_bin4_voxel2.176_ribosome,subtomo,subtomo_ribosome_mmotl_ribosome_b4_trim_shift_t126_t126_b4_s48,1,True,AGL_anglist_20_deg_c1.csv,20,False,-0.411447762773456,10.595623959307982,7.545420764969551,4,8.704,48,motl_ribosome_b4_trim_shift_t126,True,126_b4,id_2_results,44473.0,14184.0,32.0,37.0,36.0,0.7019349730291483,0.14795902371406555,25.0,25.0,20.0,162.0,218.0,62975.0,0.5567010309278351,0.3283132530120481,0.5694765969760544,129.0,138.0,17701.0,5.0,5.0,12.0,5.0,6.0,12.0,48.0,48.0,48.0,0.050902463495731354,0.035753458738327026,0.006738781929016113,0.12127482146024704,0.09238559752702713,0.06832003593444824,0.06069305166602135,0.05505611002445221,0.12970729172229767,0.09285914152860641,0.056469473987817764,0.05189354345202446,0.04920344427227974,0.0007413743296638131,0.0011802638182416558,0.0008762569632381201,0.000597722246311605,0.000383021921152249
3,True,ribosome,sta,bin4_voxel2.176_ribosome,mask48_r22,False,tm_bin4_voxel2.176_ribosome,subtomo,subtomo_ribosome_mmotl_ribosome_b4_trim_shift_t126_t126_b4_s48,1,True,AGL_anglist_30_deg_c1.csv,30,False,-0.411447762773456,10.595623959307982,7.545420764969551,4,8.704,48,motl_ribosome_b4_trim_shift_t126,True,126_b4,id_3_results,44473.0,14184.0,32.0,37.0,36.0,0.7019349730291483,0.14795902371406555,25.0,25.0,20.0,159.0,185.0,67727.0,0.5247524752475248,0.4625,0.6125426212160953,113.0,121.0,37360.0,5.0,4.0,12.0,5.0,5.0,12.0,48.0,48.0,48.0,0.050902463495731354,0.035753458738327026,0.006738781929016113,0.12127482146024704,0.09158893674612045,0.06558193266391754,0.057158127427101135,0.05114379897713661,0.12970729172229767,0.09285914152860641,0.05061095207929611,0.04562525823712349,0.04377257451415062,0.0007413743296638131,0.0012481979792937636,0.0009833050426095724,0.0006862683221697807,0.0004424194630701095
